X,Y,Z
976.0,-32.0,-594.0
956.0,-28.0,-566.0
960.0,-34.0,-556.0
952.0,-32.0,-568.0
954.0,-42.0,-585.0
950.0,-40.0,-592.0
948.0,-14.0,-590.0
946.0,-14.0,-583.0
956.0,-32.0,-602.0
936.0,-38.0,-583.0
946.0,-34.0,-579.0
940.0,-34.0,-593.0
932.0,-38.0,-584.0
936.0,-42.0,-570.0
942.0,-34.0,-604.0
938.0,-34.0,-597.0
944.0,-36.0,-617.0
936.0,-46.0,-596.0
952.0,-38.0,-587.0
946.0,-32.0,-596.0
954.0,-38.0,-595.0
942.0,-14.0,-582.0
952.0,-34.0,-592.0
956.0,-38.0,-588.0
942.0,-32.0,-580.0
950.0,-32.0,-611.0
952.0,-36.0,-589.0
946.0,-28.0,-602.0
928.0,-24.0,-596.0
960.0,-32.0,-573.0
932.0,-38.0,-605.0
944.0,-14.0,-578.0
964.0,-22.0,-590.0
940.0,-36.0,-569.0
948.0,-32.0,-584.0
944.0,-44.0,-575.0
948.0,-40.0,-592.0
952.0,-16.0,-585.0
944.0,-44.0,-586.0
958.0,-30.0,-581.0
950.0,-18.0,-612.0
944.0,-16.0,-587.0
956.0,-34.0,-578.0
952.0,-34.0,-578.0
948.0,-32.0,-578.0
954.0,-28.0,-600.0
954.0,-40.0,-600.0
948.0,-18.0,-572.0
948.0,-40.0,-581.0
958.0,-38.0,-598.0
960.0,-38.0,-570.0
964.0,-34.0,-588.0
954.0,-40.0,-574.0
972.0,-18.0,-588.0
978.0,-32.0,-601.0
990.0,-12.0,-601.0
988.0,6.0,-595.0
1008.0,4.0,-595.0
988.0,12.0,-605.0
1006.0,16.0,-601.0
1010.0,8.0,-602.0
1002.0,4.0,-576.0
1004.0,-8.0,-603.0
1010.0,10.0,-617.0
1010.0,-8.0,-590.0
1014.0,14.0,-587.0
1010.0,-24.0,-619.0
998.0,-12.0,-610.0
1034.0,-12.0,-583.0
1032.0,8.0,-583.0
1016.0,-10.0,-585.0
1014.0,-36.0,-589.0
1026.0,-22.0,-597.0
1026.0,-38.0,-595.0
1024.0,-30.0,-582.0
1024.0,-40.0,-575.0
1014.0,-28.0,-601.0
1012.0,-8.0,-584.0
1016.0,-30.0,-592.0
1028.0,-30.0,-582.0
1000.0,-22.0,-588.0
1016.0,-12.0,-575.0
1024.0,-34.0,-578.0
