X,Y,Z
588.0,-338.0,76.0
602.0,-354.0,94.0
594.0,-346.0,111.0
594.0,-348.0,96.0
588.0,-350.0,92.0
584.0,-352.0,102.0
596.0,-348.0,107.0
608.0,-340.0,91.0
608.0,-346.0,93.0
572.0,-338.0,103.0
594.0,-346.0,97.0
584.0,-346.0,95.0
584.0,-330.0,120.0
596.0,-336.0,115.0
594.0,-344.0,100.0
590.0,-342.0,98.0
598.0,-336.0,100.0
594.0,-338.0,76.0
590.0,-342.0,83.0
596.0,-350.0,87.0
586.0,-340.0,99.0
590.0,-350.0,131.0
584.0,-356.0,97.0
584.0,-336.0,109.0
586.0,-344.0,77.0
598.0,-352.0,85.0
596.0,-356.0,94.0
596.0,-344.0,92.0
600.0,-348.0,95.0
578.0,-334.0,94.0
596.0,-354.0,83.0
592.0,-348.0,97.0
586.0,-352.0,80.0
582.0,-354.0,92.0
602.0,-362.0,85.0
594.0,-356.0,119.0
592.0,-350.0,91.0
596.0,-336.0,85.0
602.0,-340.0,98.0
600.0,-336.0,82.0
590.0,-350.0,100.0
608.0,-340.0,88.0
582.0,-356.0,82.0
590.0,-354.0,98.0
584.0,-338.0,102.0
580.0,-348.0,112.0
594.0,-348.0,84.0
596.0,-348.0,80.0
590.0,-334.0,104.0
594.0,-348.0,90.0
588.0,-326.0,85.0
590.0,-328.0,96.0
578.0,-342.0,98.0
572.0,-348.0,96.0
586.0,-340.0,98.0
590.0,-342.0,87.0
594.0,-352.0,90.0
588.0,-352.0,86.0
594.0,-340.0,95.0
594.0,-348.0,81.0
594.0,-356.0,123.0
604.0,-338.0,84.0
598.0,-358.0,94.0
590.0,-352.0,87.0
590.0,-342.0,105.0
578.0,-354.0,91.0
598.0,-350.0,82.0
584.0,-348.0,87.0
600.0,-336.0,96.0
582.0,-346.0,93.0
594.0,-344.0,94.0
606.0,-328.0,117.0
592.0,-336.0,92.0
592.0,-348.0,97.0
608.0,-336.0,65.0
586.0,-362.0,77.0
588.0,-342.0,83.0
604.0,-348.0,69.0
594.0,-346.0,93.0
600.0,-336.0,68.0
598.0,-340.0,107.0
602.0,-346.0,88.0
614.0,-342.0,95.0
596.0,-346.0,99.0
600.0,-344.0,81.0
610.0,-338.0,105.0
594.0,-344.0,112.0
598.0,-344.0,93.0
594.0,-328.0,68.0
576.0,-328.0,123.0
590.0,-348.0,95.0
590.0,-342.0,95.0
596.0,-356.0,105.0
594.0,-344.0,96.0
580.0,-352.0,108.0
588.0,-338.0,79.0
598.0,-342.0,91.0
588.0,-352.0,100.0
598.0,-338.0,80.0
578.0,-360.0,97.0
586.0,-340.0,82.0
594.0,-352.0,89.0
602.0,-342.0,89.0
606.0,-340.0,120.0
606.0,-344.0,86.0
604.0,-346.0,94.0
580.0,-344.0,114.0
620.0,-340.0,97.0
598.0,-348.0,76.0
606.0,-338.0,78.0
578.0,-342.0,83.0
604.0,-338.0,96.0
598.0,-334.0,73.0
592.0,-334.0,89.0
588.0,-342.0,82.0
590.0,-352.0,100.0
590.0,-334.0,107.0
586.0,-348.0,90.0
608.0,-336.0,94.0
584.0,-336.0,89.0
596.0,-340.0,110.0
594.0,-340.0,106.0
576.0,-332.0,75.0
580.0,-332.0,90.0
590.0,-332.0,80.0
600.0,-328.0,86.0
600.0,-340.0,93.0
600.0,-330.0,58.0
592.0,-320.0,91.0
598.0,-350.0,83.0
592.0,-342.0,111.0
606.0,-328.0,86.0
608.0,-346.0,99.0
584.0,-358.0,105.0
598.0,-336.0,84.0
600.0,-346.0,95.0
596.0,-352.0,77.0
596.0,-344.0,93.0
596.0,-342.0,92.0
588.0,-346.0,105.0
592.0,-350.0,96.0
596.0,-336.0,99.0
600.0,-350.0,105.0
600.0,-352.0,84.0
596.0,-346.0,97.0
588.0,-346.0,98.0
606.0,-344.0,118.0
612.0,-356.0,107.0
594.0,-346.0,102.0
596.0,-342.0,111.0
602.0,-348.0,114.0
602.0,-360.0,111.0
588.0,-358.0,85.0
594.0,-340.0,106.0
590.0,-350.0,83.0
586.0,-346.0,91.0
596.0,-350.0,78.0
582.0,-340.0,70.0
590.0,-352.0,79.0
594.0,-348.0,102.0
580.0,-332.0,87.0
590.0,-336.0,88.0
578.0,-342.0,104.0
588.0,-334.0,94.0
586.0,-340.0,111.0
594.0,-342.0,100.0
600.0,-354.0,104.0
588.0,-346.0,101.0
608.0,-344.0,115.0
602.0,-354.0,116.0
