x,y,z
-14.9,-8.46,-2.01
-14.9,-8.32,-1.82
-14.92,-8.22,-1.98
-14.92,-8.46,-1.99
-14.76,-8.5,-2.03
-14.88,-8.33,-2.1
-14.88,-8.33,-2.01
-14.82,-8.43,-1.98
-14.92,-8.37,-1.98
-14.92,-8.45,-2.04
-14.8,-8.35,-2.0
-14.82,-8.3,-2.09
-14.76,-8.48,-1.9
-14.71,-8.39,-2.02
-14.88,-8.41,-1.87
-14.97,-8.46,-1.9
-14.96,-8.28,-2.04
-14.86,-8.35,-1.91
-14.9,-8.41,-2.0
-14.75,-8.3,-2.14
-14.82,-8.32,-2.12
-14.78,-8.32,-2.13
-14.84,-8.45,-2.19
-14.8,-8.39,-1.95
-14.9,-8.32,-2.01
-14.88,-8.28,-2.06
-14.9,-8.37,-2.08
-14.84,-8.33,-1.91
-14.9,-8.2,-2.06
-14.99,-8.41,-1.99
-14.92,-8.39,-2.05
-14.96,-8.26,-2.02
-14.96,-8.26,-2.06
-14.88,-8.39,-2.13
-14.86,-8.41,-2.01
-14.88,-8.32,-2.04
-14.8,-8.22,-2.02
-14.8,-8.26,-1.96
-14.86,-8.32,-2.04
-14.94,-8.2,-2.07
-14.78,-8.43,-2.15
-14.76,-8.32,-2.11
-14.86,-8.48,-2.08
-15.07,-8.3,-2.04
-14.69,-8.28,-2.52
-14.63,-8.35,-2.73
-14.78,-7.94,-3.52
-14.92,-7.85,-3.85
-14.88,-7.79,-4.27
-14.52,-7.32,-5.4
-14.33,-7.16,-5.52
-14.17,-6.89,-5.87
-14.06,-6.69,-6.44
-13.92,-6.17,-6.88
-13.43,-5.74,-7.2
-12.74,-5.38,-7.28
-12.01,-5.18,-7.7
-11.17,-5.32,-7.7
-11.17,-4.76,-8.1
-12.45,-4.26,-8.28
-14.15,-4.75,-7.57
-14.4,-6.54,-6.59
-12.63,-7.81,-6.08
-10.53,-8.63,-5.39
-8.1,-8.6,-4.35
-6.46,-7.7,-3.22
-5.37,-6.58,-2.25
-4.84,-5.59,-1.05
-4.84,-4.48,0.44
-5.52,-3.27,2.13
-6.65,-1.48,3.52
-7.83,0.06,4.0
-9.46,1.23,4.25
-11.38,1.8,4.57
-13.26,2.26,4.01
-15.13,2.39,2.73
-16.2,2.39,1.13
-17.11,1.8,-0.69
-17.57,0.64,-2.37
-17.17,-0.5,-4.25
-16.35,-1.83,-6.27
-14.88,-2.93,-7.41
-12.86,-3.12,-8.12
-11.96,-2.56,-8.1
-12.03,-1.44,-7.59
-12.72,-1.01,-6.89
-13.2,-1.68,-6.26
-12.84,-2.58,-6.07
-12.87,-2.56,-6.35
-13.5,-2.99,-7.27
-13.6,-4.41,-7.63
-12.49,-5.57,-7.98
-10.3,-6.15,-7.89
-8.46,-5.64,-7.73
-7.15,-5.12,-7.11
-5.85,-4.52,-5.98
-4.95,-3.61,-4.91
-4.53,-1.87,-3.4
-4.91,-0.52,-2.2
-5.6,0.67,-1.28
-6.42,1.83,-1.12
-7.39,2.51,-1.69
-8.08,2.82,-1.99
-8.43,2.99,-2.93
-8.98,3.33,-3.4
-9.15,3.85,-2.54
-9.91,4.13,-1.16
-10.62,4.32,0.39
-11.75,4.3,1.14
-13.26,4.09,0.82
-14.65,3.74,0.39
-15.89,3.03,-0.54
-16.81,2.13,-1.31
-17.34,1.03,-1.35
-17.8,0.39,-2.11
-18.03,-0.58,-2.05
-18.24,-1.48,-2.8
-17.74,-2.62,-4.2
-16.75,-4.0,-5.62
-15.43,-4.54,-6.91
-13.96,-3.85,-7.94
-12.63,-2.41,-8.3
-12.09,-0.9,-7.77
-12.49,0.11,-7.17
-13.52,0.52,-7.23
-15.11,-0.82,-6.57
-14.78,-3.61,-5.8
-13.41,-4.32,-6.14
-13.41,-5.06,-6.78
-12.76,-6.32,-6.7
-11.04,-7.32,-6.76
-8.9,-7.4,-6.48
-7.01,-6.07,-6.21
-5.68,-5.27,-5.51
-4.87,-4.05,-4.71
-4.66,-2.65,-3.72
-4.72,-1.36,-2.71
-4.93,-0.04,-1.69
-5.79,0.92,-1.27
-6.74,1.8,-1.6
-7.34,2.28,-2.15
-7.87,2.52,-2.44
-8.29,2.77,-2.63
-8.23,2.79,-2.78
-8.44,3.05,-2.35
-8.35,3.12,-1.0
-8.5,2.86,0.7
-9.46,2.67,1.96
-10.83,2.19,3.12
-12.32,1.85,3.71
-13.98,1.74,3.42
-15.6,1.23,2.29
-16.86,0.92,1.08
-17.59,0.34,-0.86
-17.71,-0.63,-2.93
-17.09,-1.51,-4.99
-16.27,-2.6,-6.43
-14.84,-3.25,-7.46
-13.58,-3.49,-8.22
-12.74,-3.25,-8.44
-12.21,-2.22,-8.07
-12.95,-1.12,-7.62
-14.48,-1.08,-6.87
-15.62,-1.68,-5.94
-16.06,-2.93,-5.22
-15.81,-4.02,-5.52
-15.13,-4.88,-6.27
-13.5,-5.92,-7.42
-10.49,-6.65,-7.65
-7.36,-5.9,-7.17
-6.15,-3.96,-6.54
-6.06,-2.86,-6.19
-5.37,-3.34,-5.47
-5.47,-5.61,-4.64
-7.51,-8.09,-4.67
-10.72,-8.95,-5.02
-13.58,-7.6,-5.53
-14.94,-5.21,-6.49
-14.44,-3.44,-7.24
-13.26,-2.95,-7.8
-12.68,-3.68,-8.21
-12.3,-4.97,-8.08
-12.26,-5.64,-7.81
-12.57,-6.37,-7.45
-12.49,-7.23,-6.47
-11.4,-7.77,-6.24
-9.91,-7.23,-6.5
-10.11,-7.03,-6.71
-10.79,-6.89,-6.9
-11.73,-6.0,-7.34
-12.19,-4.26,-8.08
-12.97,-3.57,-8.16
-13.81,-2.54,-7.95
-13.43,-1.25,-8.02
-12.09,-1.42,-8.23
-11.77,-1.27,-8.5
-12.09,-1.1,-8.32
-12.84,-0.93,-7.93
-13.81,-0.6,-7.5
-15.68,-1.34,-6.58
-16.06,-4.17,-4.49
-14.38,-5.16,-4.45
-14.38,-5.03,-5.28
-14.67,-5.9,-5.72
-13.29,-7.36,-5.97
-11.52,-8.24,-5.9
-9.63,-8.48,-5.44
-7.36,-8.15,-3.89
-6.19,-7.34,-2.28
-5.85,-6.43,-0.25
-6.15,-5.14,1.86
-6.71,-2.99,3.11
-7.34,-0.69,3.49
-7.79,0.8,2.49
-7.62,1.59,1.89
-7.24,1.91,0.68
-6.95,2.08,0.5
-7.09,1.8,0.73
-6.99,1.98,1.07
-7.83,1.83,2.12
-9.0,1.42,2.92
-10.89,1.23,3.7
-13.07,1.29,3.98
-15.41,1.27,2.55
-16.94,0.69,-0.14
-17.27,-0.11,-2.93
-16.77,-0.99,-4.89
-15.89,-1.57,-6.44
-14.97,-2.28,-7.1
-13.91,-2.82,-7.71
-13.58,-3.16,-8.01
-13.07,-3.47,-8.22
-12.89,-3.42,-7.97
-12.76,-3.34,-8.12
-12.74,-3.01,-8.36
-12.53,-2.69,-8.14
-12.72,-2.6,-8.43
-12.97,-2.82,-8.54
-13.77,-4.0,-7.96
-14.31,-5.81,-6.64
-13.58,-7.23,-5.11
-12.24,-7.98,-5.25
-10.54,-8.5,-5.15
-8.48,-8.28,-4.98
-6.5,-7.12,-4.86
-5.26,-5.08,-4.82
-4.85,-3.25,-4.51
-4.63,-2.22,-3.53
-4.34,-1.77,-2.46
-4.42,-3.1,-0.61
-4.97,-5.18,0.47
-6.42,-7.01,0.05
-8.16,-8.69,-0.73
-9.86,-9.12,-2.08
-10.91,-9.16,-3.62
-11.06,-8.56,-5.37
-10.54,-7.57,-6.18
-9.9,-6.91,-6.9
-9.13,-6.24,-7.19
-8.6,-5.47,-7.23
-8.79,-4.97,-7.3
-10.37,-4.67,-8.06
-10.77,-3.89,-8.57
-11.06,-3.36,-8.78
-10.96,-3.23,-8.59
-11.19,-2.9,-8.69
-11.35,-2.84,-8.5
-12.13,-2.76,-8.75
-13.54,-2.58,-8.3
-15.76,-3.34,-7.04
-16.23,-5.61,-5.12
-14.04,-6.84,-4.76
-13.43,-6.09,-5.4
-13.68,-6.07,-5.6
-13.5,-6.6,-5.54
-13.05,-7.25,-5.89
-11.86,-7.98,-5.38
-10.12,-8.46,-5.11
-7.95,-7.89,-5.14
-6.48,-6.84,-5.31
-5.9,-5.55,-5.47
-5.45,-4.56,-5.4
-5.16,-3.74,-5.28
-4.66,-3.42,-4.23
-4.7,-2.69,-3.26
-4.7,-1.92,-2.51
-4.8,-1.27,-1.93
-5.05,-0.28,-2.06
-5.5,0.37,-2.11
-5.89,0.79,-2.53
-6.02,0.88,-2.27
-6.23,0.92,-0.99
